time_ms,raw,filtered
0.0,-153882.0,-153882.0
9.0,-154930.0,-154144.0
21.0,-154549.0,-154245.25
32.0,-153690.0,-154106.44
44.0,-154463.0,-154195.58
56.0,-153798.0,-154096.19
67.0,-152660.0,-153737.14
79.0,-153072.0,-153570.86
90.0,-154058.0,-153692.64
102.0,-152861.0,-153484.73
114.0,-153165.0,-153404.8
125.0,-154000.0,-153553.59
137.0,-152493.0,-153288.44
148.0,-151912.0,-152944.33
160.0,-153467.0,-153075.0
171.0,-152936.0,-153040.25
183.0,-151626.0,-152686.69
195.0,-152553.0,-152653.27
206.0,-152561.0,-152630.2
218.0,-151175.0,-152266.41
229.0,-151647.0,-152111.56
241.0,-152359.0,-152173.42
253.0,-151307.0,-151956.81
264.0,-151124.0,-151748.61
276.0,-151626.0,-151717.95
287.0,-151047.0,-151550.22
299.0,-150051.0,-151175.41
310.0,-151227.0,-151188.31
322.0,-150715.0,-151069.98
334.0,-150080.0,-150822.48
345.0,-150849.0,-150829.11
357.0,-150907.0,-150848.58
368.0,-149438.0,-150495.94
380.0,-150240.0,-150431.95
392.0,-150741.0,-150509.22
403.0,-149202.0,-150182.41
415.0,-149109.0,-149914.06
426.0,-150365.0,-150026.8
438.0,-148808.0,-149722.09
450.0,-149073.0,-149559.81
461.0,-149300.0,-149494.86
473.0,-149165.0,-149412.39
484.0,-148195.0,-149108.05
496.0,-148399.0,-148930.78
507.0,-149295.0,-149021.84
519.0,-148661.0,-148931.62
531.0,-148304.0,-148774.72
542.0,-149050.0,-148843.53
554.0,-148613.0,-148785.91
565.0,-147302.0,-148414.94
577.0,-148556.0,-148450.2
589.0,-148118.0,-148367.16
600.0,-147677.0,-148194.62
612.0,-148254.0,-148209.47
623.0,-147639.0,-148066.84
635.0,-145886.0,-147521.62
647.0,-147677.0,-147560.47
658.0,-147654.0,-147583.84
670.0,-146722.0,-147368.38
681.0,-146542.0,-147161.78
693.0,-147364.0,-147212.34
704.0,-146623.0,-147065.0
716.0,-145499.0,-146673.5
728.0,-146941.0,-146740.38
739.0,-147116.0,-146834.28
751.0,-145472.0,-146493.72
762.0,-145542.0,-146255.78
774.0,-146734.0,-146375.34
786.0,-145487.0,-146153.25
797.0,-145497.0,-145989.19
809.0,-145917.0,-145971.14
820.0,-144913.0,-145706.61
832.0,-144753.0,-145468.2
844.0,-145710.0,-145528.66
855.0,-145141.0,-145431.75
867.0,-143890.0,-145046.31
878.0,-143704.0,-144710.73
890.0,-143739.0,-144467.8
901.0,-144308.0,-144427.84
913.0,-144915.0,-144549.62
925.0,-144969.0,-144654.47
936.0,-143312.0,-144318.84
948.0,-143826.0,-144195.62
959.0,-144980.0,-144391.72
971.0,-143879.0,-144263.53
983.0,-142717.0,-143876.91
994.0,-143985.0,-143903.94
1006.0,-142943.0,-143663.7
1017.0,-142986.0,-143494.28
1029.0,-143474.0,-143489.22
1041.0,-144104.0,-143642.91
1052.0,-142410.0,-143334.69
1064.0,-141750.0,-142938.52
1075.0,-142997.0,-142953.14
1087.0,-143038.0,-142974.36
1098.0,-141781.0,-142676.02
1110.0,-143199.0,-142806.77
1122.0,-142466.0,-142721.58
1133.0,-140988.0,-142288.19
1145.0,-141681.0,-142136.39
1156.0,-142258.0,-142166.8
1168.0,-141389.0,-141972.34
1180.0,-141134.0,-141762.75
1191.0,-141743.0,-141757.81
1203.0,-140937.0,-141552.61
1214.0,-140771.0,-141357.2
1226.0,-141541.0,-141403.16
1238.0,-140934.0,-141285.88
1249.0,-140048.0,-140976.41
1261.0,-140924.0,-140963.31
1272.0,-140841.0,-140932.73
1284.0,-139828.0,-140656.55
1295.0,-140342.0,-140577.91
1307.0,-140915.0,-140662.19
1319.0,-139805.0,-140447.89
1330.0,-139836.0,-140294.92
1342.0,-140325.0,-140302.44
1353.0,-138450.0,-139839.33
1365.0,-139239.0,-139689.25
1377.0,-141063.0,-140032.69
1388.0,-140807.0,-140226.27
1400.0,-138872.0,-139887.7
1411.0,-139329.0,-139748.03
1423.0,-138919.0,-139540.78
1435.0,-137493.0,-139028.84
1446.0,-138976.0,-139015.62
1458.0,-140099.0,-139286.47
1469.0,-138415.0,-139068.59
1481.0,-138503.0,-138927.19
1492.0,-138945.0,-138931.64
1504.0,-138022.0,-138704.23
1516.0,-138023.0,-138533.92
1527.0,-138775.0,-138594.19
1539.0,-138221.0,-138500.89
1550.0,-136769.0,-138067.92
